[2021-03-06 15:31:31,152] I mainui.py |  Kiwoom  > 정지
[2021-03-06 15:32:10,893] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:34:12,558] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 15:34:14,085] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 15:34:22,899] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:34:24,958] I mainui.py |  Kiwoom  > buy Type : SimpleBuy 실행
[2021-03-06 15:34:24,959] I mainui.py |  Kiwoom  > sell Type : SimpleSell 실행
[2021-03-06 15:35:18,220] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 15:35:20,836] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 15:35:31,862] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:35:46,158] I mainui.py |  Kiwoom  > sell Type : SimpleSell 실행
[2021-03-06 15:37:42,414] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:37:44,646] I mainui.py |  Kiwoom  > 정지
[2021-03-06 15:37:46,398] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:37:47,950] I mainui.py |  Kiwoom  > 정지
[2021-03-06 15:38:08,908] I mainui.py |  Kiwoom  > 매수전략 변경 : simpleBuy
[2021-03-06 15:38:10,867] I mainui.py |  Kiwoom  > 매매전략 변경 : simpleSell
[2021-03-06 15:38:12,030] I mainui.py |  Kiwoom  > 동작중
[2021-03-06 15:38:12,032] I mainui.py |  Kiwoom  > buy Type : SimpleBuy 실행
[2021-03-06 15:38:12,033] I mainui.py |  Kiwoom  > 1000실행되었습니다.
[2021-03-06 15:38:12,033] I mainui.py |  Kiwoom  > sell Type : SimpleSell 실행
[2021-03-06 15:38:12,034] I mainui.py |  Kiwoom  > 1000실행되었습니다.
[2021-03-06 15:38:22,677] I mainui.py |  Kiwoom  > 정지
